,name,address,si_do,gun_gu
233,서울서초구양재점,서울 서초구 동산로,서울,서초구
234,서울영등포구여의도2호점,서울 영등포구 국제금융로,서울,영등포구
235,서울서초구잠원점,서울 서초구 나루터로,서울,서초구
236,서울영등포구신풍역점,서울 영등포구 대방천로,서울,영등포구
237,서울관악구인헌점,서울 관악구 인헌길,서울,관악구
238,서울서초구우면점,서울 서초구 형촌길,서울,서초구
239,서울송파구잠실본점,서울 송파구 백제고분로,서울,송파구
240,서울영등포구영등포푸르지오점,서울 영등포구 양산로,서울,영등포구
241,서울관악구신림점,서울 관악구 문성로,서울,관악구
242,서울송파구석촌점,서울 송파구 가락로,서울,송파구
243,서울관악구봉천중앙점,서울 관악구 남부순환로,서울,관악구
244,서울송파구가락2점,서울 송파구 송이로,서울,송파구
245,서울송파구문정장지점,서울 송파구 새말로,서울,송파구
246,서울송파구오금점(B),서울 송파구 마천로,서울,송파구
247,서울금천구가산독산1동점,서울 금천구 가산로,서울,금천구
248,서울금천구독산점,서울 금천구 남부순환로,서울,금천구
249,서울송파구가락점,서울 송파구 문정로,서울,송파구
250,서울서초구방배본동점,서울 서초구 방배중앙로,서울,서초구
251,서울서초구반포2점,서울 서초구 강남대로,서울,서초구
252,서울서초구서초2점,서울 서초구 효령로,서울,서초구
253,서울강남구역삼충현점,서울 강남구 봉은사로,서울,강남구
254,서울서초구서초1호점,서울 서초구 효령로,서울,서초구
255,서울관악구신림남부점,서울 관악구 남부순환로,서울,관악구
256,서울관악구난곡점,서울 관악구 미성길,서울,관악구
257,서울강남구신사점,서울 강남구 논현로,서울,강남구
258,서울강남구도곡점,서울 강남구 도곡로,서울,강남구
259,서울송파구풍납점,서울 송파구 풍성로,서울,송파구
260,서울동작구사당이수점,서울 동작구 사당로,서울,동작구
261,서울관악구봉천현대점(B),서울 관악구 봉천로,서울,관악구
262,서울영등포구대림점(B),서울 영등포구 디지털로,서울,영등포구
263,서울송파구송파방이2점,서울 송파구 가락로,서울,송파구
264,서울서초구서초중앙점,서울 서초구 서초중앙로,서울,서초구
265,서울강남구논현1점,서울 강남구 강남대로,서울,강남구
266,서울금천구금천점,서울 금천구 은행나무로,서울,금천구
267,서울강남구청담점,서울 강남구 삼성로,서울,강남구
268,서울송파구위례점,서울 송파구 위례광장로,서울,송파구
269,서울송파구잠실1점,서울 송파구 올림픽로,서울,송파구
270,서울강남구역삼1점,서울 강남구 논현로,서울,강남구
271,서울강남구세곡자곡점,서울 강남구 자곡로,서울,강남구
272,서울동작구중대점,서울 동작구 흑석로,서울,동작구
273,서울동작구상도2호점(B),서울 동작구 성대로 ,서울,동작구
274,서울송파구잠실새내역점,서울 송파구 올림픽로,서울,송파구
275,서울영등포구신길점,서울 영등포구 가마산로,서울,영등포구
276,서울강남구수서점,서울 강남구 광평로,서울,강남구
277,경기과천시과천1점,경기 과천시 별양로,경기,과천시
278,서울관악구봉천점,서울 관악구 은천로,서울,관악구
279,서울강남구대치점,서울 강남구 삼성로,서울,강남구
280,서울양천구신정점,서울 양천구 신목로,서울,양천구
281,서울강서구염창점,서울 강서구 양천로,서울,강서구
282,서울강서구방화2점,서울 강서구 금낭화로,서울,강서구
283,경기광명시하안점,경기 광명시 하안로,경기,광명시
284,서울양천구신정1동점,서울 양천구 은행정로,서울,양천구
285,서울구로구구로1점,서울 구로구 구로동로,서울,구로구
286,서울강서구화곡본동점,서울 강서구 초록마을로,서울,강서구
287,서울강서구등촌3동점,서울 강서구 공항대로,서울,강서구
288,경기안양시평촌1호점,경기 안양시 동안구 달안로,경기,안양시
289,경기광명시철산점,경기 광명시 도덕공원로,경기,광명시
290,경기안양시비산1호점,경기 안양시 동안구 경수대로,경기,안양시
291,서울강서구까치산점,서울 강서구 강서로,서울,강서구
292,서울강서구화곡남부시장점,서울 강서구 곰달래로,서울,강서구
293,경기안양시석수점,경기 안양시 만안구 석천로,경기,안양시
294,서울강서구화곡1동점,서울 강서구 가로공원로,서울,강서구
295,서울양천구신월1동점,서울 양천구 가로공원로,서울,양천구
296,경기안양시안양2호점,경기 안양시 만안구 냉천로,경기,안양시
297,서울강서구등촌2동점,서울 강서구 등촌로,서울,강서구
298,경기안양시호계갈산점,경기 안양시 동안구,경기,안양시
299,경기광명시소하점,경기 광명시소하로,경기,광명시소하로
300,서울양천구양천구청점,서울 양천구 목동남로,서울,양천구
301,경기안양시호계오전점,경기 안양시 동안구 포도원로,경기,안양시
302,경기광명시광명KTX역점,경기 광명시 덕안로,경기,광명시
303,서울강서구가양1점(B),서울 강서구 양천로,서울,강서구
304,서울양천구화곡3동점,서울 양천구 월정로,서울,양천구
305,서울구로구남구로점,서울 구로구 도림로,서울,구로구
306,경기광명시광명사거리점,경기 광명시 오리로,경기,광명시
307,서울강서구방화1점,서울 강서구 양천로,서울,강서구
308,서울양천구신월2점,서울 양천구 오목로,서울,양천구
309,서울양천구목4동점,서울 양천구 목동중앙서로,서울,양천구
310,경기안양시호계2호점,경기 안양시 동안구 전파로,경기,안양시
311,서울강서구수명산파크점,서울 강서구 강서로,서울,강서구
312,서울구로구오류1점,서울 구로구 부일로,서울,구로구
313,서울양천구신월점,서울 양천구 신월로,서울,양천구
314,서울구로구구로테크노마트점,서울 구로구 새말로,서울,구로구
315,서울구로구고척1점,서울 구로구 경서로,서울,구로구
316,경기광명시철산역점,경기 광명시 디지털로,경기,광명시
317,경기안양시박달점,경기 안양시 만안구 양화로,경기,안양시
318,서울구로구근린공원점,서울 구로구 고척로,서울,구로구
319,서울구로구신도림점,서울 구로구 신도림로,서울,구로구
320,경기안양시관양지구점,경기 안양시 동안구 관악대로,경기,안양시
321,경기안양시관양비산점,경기 안양시 동안구 평촌대로,경기,안양시
322,서울구로구개봉점(B),,,
323,경기광명시광명시장점,경기 광명시 광이로,경기,광명시
324,경기안양시평촌2호점,경기 안양시 동안구 관평로,경기,안양시
325,경기안양시안양1호점,경기 안양시 만안구 냉천로,경기,안양시
326,경기부천시송내점,경기 부천시 소사구 송내대로,경기,부천시
327,경기김포시양곡점,경기 김포시 김포한강로,경기,김포시
328,인천동구동인천송현점,인천 동구 화도로,인천,동구
329,인천부평구부개점,인천 부평구 길주남로,인천,부평구
330,경기시흥시월곶점,경기 시흥시 월곶중앙로,경기,시흥시
331,인천남동구논현점,인천 남동구 논곡로,인천,남동구
332,경기부천시범박점,경기 부천시 소사구 소사동로,경기,부천시
333,경기부천시원종점,경기 부천시 오정구 소사로,경기,부천시
334,인천계양구계산점,인천 계양구 용마루길,인천,계양구
335,경기부천시심곡점,경기 부천시 소사구 심곡로,경기,부천시
336,경기부천시소사점,경기 부천시 소사구 은성로,경기,부천시
337,경기부천시역곡점,경기 부천시 원미구 역곡로,경기,부천시
338,인천남구주안점,인천 남구 인주대로,인천,남구
339,경기부천시원미점,경기 부천시 원미구 조마루로,경기,부천시
340,인천남구주안역점,인천 남구 주안로,인천,남구
341,경기부천시오정점,경기 부천시 오정구 부천로,경기,부천시
342,경기김포시김포1호점,경기 김포시 관순로,경기,김포시
343,경기부천시역곡남부점,경기 부천시 소사구 부광로,경기,부천시
344,인천부평구부평중앙점,인천 부평구 장제로,인천,부평구
345,인천부평구청천점,인천 부평구 마장로,인천,부평구
346,인천서구가좌점,인천 서구 여우재로,인천,서구
347,경기김포시고촌점,경기 김포시 고촌읍 은행영사정로,경기,김포시
348,경기김포시풍무점,경기 김포시 양도로,경기,김포시
349,경기김포시장기점,경기 김포시 김포한강로,경기,김포시
350,인천서구검암점,인천 서구 도요지로,인천,서구
351,인천강화군강화1점,인천 강화군 강화읍 강화대로,인천,강화군
352,인천부평구부평남부점,인천 부평구 남부역로,인천,부평구
353,인천남동구간석점(B),인천 남동구 구월로,인천,남동구
354,인천연수구송도신도시점,인천 연수구 해돋이로,인천,연수구
355,경기부천시심곡북부점,경기 부천시 원미구 부흥로,경기,부천시
356,경기시흥시거모점(B),경기 시흥시 한우물로,경기,시흥시
357,인천서구마전점,인천 서구 검단로,인천,서구
358,인천중구월미점,인천 중구 월미로,인천,중구
359,인천중구하늘도시점,인천 중구 하늘달빛로,인천,중구
360,인천연수구선학점,인천 연수구 선학로,인천,연수구
361,경기시흥시시화점,경기 시흥시 중심상가로,경기,시흥시
362,인천서구신현점(B),인천 서구 율도로,인천,서구
363,인천옹진군백령점,인천 옹진군 백령면 백령로,인천,옹진군
364,인천남동구논현택지점(B),인천 남동구 소래역서로,인천,남동구
365,인천남구문학관교점,인천 남구 매소홀로,인천,남구
366,경기시흥시정왕점,경기 시흥시 정왕천로,경기,시흥시
367,경기시흥시은행점,경기 시흥시 은행로,경기,시흥시
368,경기부천시상동북부점,경기 부천시 원미구 송내대로,경기,부천시
369,인천부평구부일점,인천 부평구 경인로,인천,부평구
370,인천남동구서창1점,인천 남동구 서창남순환로,인천,남동구
371,인천남구제물포점,인천 남구 수봉안길,인천,남구
372,인천연수구송도3동점,인천 연수구 송도문화로,인천,연수구
373,경기시흥시능곡점,경기 시흥시 장현능곡로,경기,시흥시
374,인천연수구연수2동3동점,인천 연수구 샘말로,인천,연수구
375,인천서구청라1호점,인천 서구 청라라임로,인천,서구
376,인천계양구작전점,인천 계양구 주부토로,인천,계양구
377,인천부평구십정점,인천 부평구 열우물로,인천,부평구
378,경기부천시고강점,경기 부천시 오정구 역곡로,경기,부천시
379,경기시흥시신천점(B),경기 시흥시 신천로,경기,시흥시
380,인천계양구계양점,인천 계양구 임학서로,인천,계양구
381,인천연수구동춘점,인천 연수구 먼우금로,인천,연수구
382,경기김포시마송점,경기 김포시 통진읍 조강로,경기,김포시
383,경기시흥시목감점,경기 시흥시 논곡길,경기,시흥시
384,인천부평구갈산점(B),인천 부평구 굴포로,인천,부평구
385,경기부천시중동1점,경기 부천시 중동로,경기,부천시
386,인천부평구삼산1동점,인천 부평구 대보로,인천,부평구
387,경기시흥시연성2지구점,경기 시흥시 장곡로,경기,시흥시
388,인천계양구효성점(B),인천 계양구 새벌로,인천,계양구
389,인천연수구옥련점(B),인천 연수구 한나루로,인천,연수구
390,인천남구주안2점,인천 남구 인주대로,인천,남구
391,인천동구송림점,인천 동구 동산로,인천,동구
392,인천서구석남점,인천 서구 면개포로,인천,서구
393,경기부천시여월점,경기 부천시 오정구 삼작로,경기,부천시
394,인천부평구부평롯데점,인천 부평구 경원대로,인천,부평구
395,인천서구연희점,인천 서구 승학로,인천,서구
396,인천남동구구월점,인천 남동구 용천로,인천,남동구
397,경기부천시상동점,경기 부천시 원미구 조마루로,경기,부천시
398,인천부평구산곡점,인천 부평구 화랑남로,인천,부평구
399,인천계양구동양점,인천 계양구 당미길,인천,계양구
400,인천서구당하점,인천 서구 원당대로,인천,서구
401,인천계양구계산중앙점(B),인천 계양구 게양대로,인천,계양구
402,경기시흥시오이도역점,경기 시흥시 함송로,경기,시흥시
403,경기부천시중동약대점,경기 부천시 원미구 도약로,경기,부천시
404,인천연수구청학점,인천 연수구 비류대로,인천,연수구
405,인천남구용현점,인천 남구 아암대로,인천,남구
406,인천남구학익점,인천 남구 소성로,인천,남구
407,경기시흥시배곧1점,경기 시흥시 배곧4로,경기,시흥시
408,인천남동구만수2점,인천 남동구 만수서로,인천,남동구
409,인천중구운서점,인천 중구 영종대로,인천,중구
410,인천남동구만수1점,인천 남동구 하촌로,인천,남동구
411,경기남양주시오남리점,경기 남양주시 오남읍 진건오남로,경기,남양주시
412,경기남양주시금곡점,경기 남양주시 경춘로,경기,남양주시
413,경기양평군양평점,경기 양평군 양평읍 양근로,경기,양평군
414,경기남양주시사능점,경기 남양주시 진건읍 진건오남로,경기,남양주시
415,경기구리시인창점,경기 구리시 건원대로,경기,구리시
416,경기남양주시덕소점(B),경기 남양주시 와부읍 덕소로,경기,남양주시
417,경기남양주시월산점,경기 남양주시 화도읍 경춘로,경기,남양주시
418,경기가평군청평점,경기 가평군 청평면 잠곡로,경기,가평군
419,경기가평군가평점,경기 가평군 가평읍 석봉로,경기,가평군
420,경기이천시갈산점,경기 이천시 영창로,경기,이천시
421,경기여주시여주점,경기 여주시 여흥로,경기,여주시
422,경기가평군현리점,경기 가평군 하면 현창로,경기,가평군
423,경기남양주시호평점,경기도 남양주시 천마산로,경기도,남양주시
424,경기광주시태전점,경기 광주시 태봉로,경기,광주시
425,경기여주시가남점,경기 여주군 가남면 경충대로,경기,여주군
426,경기남양주시수동점,경기 남양주시 수동면 비룡로,경기,남양주시
427,경기하남시덕풍점,경기 하남시 신평로,경기,하남시
